full_name,language,description,stargazers_count
tensorflow/tensorflow,C++,An Open Source Machine Learning Framework for Everyone,190470
google-deepmind/einshape,Python,,104
ujjwalkarn/Machine-Learning-Tutorials,,"machine learning and deep learning tutorials, articles and other resources ",16313
thelilypad/systematic-trader,Python,,152
eugenium/DGL,Jupyter Notebook,,30
kaistAI/CINGS,,,2
lizardsystems/yawl-controller,Batchfile,Yet another WLED controller,194
geeeeeeeeek/electronic-wechat,JavaScript,:speech_balloon: A better WeChat on macOS and Linux. Built with Electron by Zhongyi Tong.,13920
RLHFlow/RLHF-Reward-Modeling,Python,Recipes to train reward model for RLHF.,1382
sergiodxa/remix-auth-oauth2,TypeScript,A OAuth2Strategy for Remix Auth,187
jrvosse/amalgame,Prolog,Amalgame: a SKOS vocabulary alignment tool,10
koush/AndroidAsync,Java,"Asynchronous socket, http(s) (client+server) and websocket library for android. Based on nio, not threads.",7545
tongyx361/Awesome-LLM4Math,,"Curation of resources for LLM mathematical reasoning, most of which are screened by @tongyx361 to ensure high quality and accompanied with elaborately-written concise descriptions to help readers get the gist as quickly as possible.",130
boostorg/boost,HTML,Super-project for modularized Boost,7747
ml-tooling/best-of-ml-python,,🏆 A ranked list of awesome machine learning Python libraries. Updated weekly.,20316
ISEEKYAN/mbridge,Python,,38
ServiceNow/BrowserGym,Python,"🌎💪 BrowserGym, a Gym environment for web task automation",781
aliyun/speedpix-go,Go,,6
Eric-mingjie/rethinking-network-pruning,Python,Rethinking the Value of Network Pruning (Pytorch) (ICLR 2019),1513
IDmedia/hass-unraid,Python,This Docker container parses and forwards all WebSocket messages from your Unraid server to Home Assistant using the MQTT protocol,143
DorsaRoh/Machine-Learning,Jupyter Notebook,ML from scratch,1933
sinshu/mafia-monogame,C#,,1
boson-ai/RPBench-Auto,Python,An automated pipeline for evaluating LLMs for role-playing.,186
codergautam/worldguessr,JavaScript,Free & Open source version of Geoguessr,256
b7leung/MLE-Flashcards,,"200+ detailed flashcards useful for reviewing topics in machine learning, computer vision, and computer science.",2104
rom1504/img2dataset,Python,"Easily turn large sets of image urls to an image dataset. Can download, resize and package 100M urls in 20h on one machine.",4069
DeepSceneSeg/EfficientPS,Python,PyTorch code for training EfficientPS for Panoptic Segmentation,546
modelscope/easydistill,Python,a toolkit on knowledge distillation for large language models,92
swanmatch/MxLEDBitPCB,,,238
eugeneyan/applied-ml,,📚 Papers & tech blogs by companies sharing their work on data science & machine learning in production.,28044
milanvarady/Applite,Swift,User-friendly GUI macOS application for Homebrew Casks,5084
khoj-ai/khoj,Python,"Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free.",30399
edoakes/pipeline-testing,Python,,1
jupyter-widgets/ipydatagrid,TypeScript,Fast Datagrid widget for the Jupyter Notebook and JupyterLab,614
rgoupil/trivia,TypeScript,,1
out386/aria-telegram-mirror-bot,TypeScript,A Telegram bot to download files via HTTP(S)/BitTorrent and upload them to Google Drive,522
pacocoursey/cmdk,TypeScript,"Fast, unstyled command menu React component.",11303
