login,name,bio
mrry,Derek Murray,
danbri,Dan Brickley,"Schema.org team, etc."
rockt,Tim Rocktäschel,"Professor of Artificial Intelligence at UCL, Open-Endedness Team Lead at Google DeepMind"
petro-rudenko,Peter Rudenko,
kudkudak,Stanislaw Jastrzebski,"CTO and Chief Scientist at Molecule.one. Passionate about understanding deep networks, and drug discovery."
bennokr,Benno Kruit,
dennybritz,Denny Britz,"High-school dropout. Ex Google Brain, Stanford, Berkeley. Into Startups, Deep Learning. Writing at wildml.com  and dennybritz.com"
cameronphchen,Cameron Chen,
mblondel,Mathieu Blondel,Research scientist
shuokay,Yushu Gao,AI System && NPU
carbonz0,carbonz,
mathetian,Yulong Tian,
ice-melon,Chun Jiang,
filipre,René Filip,
timgluz,Timo Sulg,"Loop(Learning, Programming, Eval)"
zlmzju,Liming Zhao,
Florian-kun,,
ncb000gt,Nick Campbell,"Founder, Developer, Coach, Dad."
duguyue100,Yuhuang Hu,"Go player, (fake) Hiker, (fake) Biker, (not anymore) TV addict, AGI supporter, NOT-DOOMED believer, (retired) LaTeX tutor, INI alumnus"
phisiart,Zhixun Tan,Software Engineer at Google.
visionnet,,
dittos,Taeho Kim,
bigwhite,Tony Bai,architect and go programmer at Reachauto
craigcitro,Craig Citro,"i like math and puns
        
        
        
@craigcitro-ant is my day job"
tiddler,Ruifan Yu,"Seeker, Learner"
shovon,Sal Rahman,Working in the video space
kyunghyuncho,Kyunghyun Cho,
mitake,Hitoshi Mitake,
yupbank,Peng Yu,☆  PRO
eugenium,Eugene Belilovsky,Researcher Machine Learning and Vision at Concordia U/MILA/UdeM
GitHub30,,手牽手
hbq1,Iurii Kemaev,
haznai,hazn,machina
ptigas,Panagiotis Tigas,"AI/ML Researcher.
PhD from the University of Oxford, @OATML.
ex-@microsoft, @autodesk, @brave "
stjordanis,STYLIANOS IORDANIS,ML/Data Scientist
rishistyping,Rish,"Computational Media Arts + Sciences
Human Machine eXperiences
"
machc,Carlos Esteves,
joaogui1,joao guilherme,
soraros,,
kngwyu,Yuji Kanagawa,"🌺・🌺・🌺・🌺・🌺・🌺
"
taesiri,Mohammad Reza Taesiri,AGI ... one linear layer at a time
alshedivat,Maruan,
HakeemDemi,Hakeem Demi,"Aspiring Data Scientist/Machine Learning Engineer with a particular interest in NLP, Reinforcement Learning and Graph ML."
Gurvan,Gurvan Priem,
sodabeta7,Ruixiang Zhang,
KeAWang,Alex Wang,"CS PhD student at Stanford University; Cornell University BA, MS"
ckmiller,Christian Miller,
Gnimuc,Yupei Qi,
matt-hughes,Matt Hughes,
mszarski,Martin Szarski,
sweetcocoa,Jongho Choi,"Deep Learning, MIR, Audio.

"
Julian-Nguyen,Edward Nguyen,
fly51fly,爱可可-爱生活,BUPT prof | Sharing latest AI papers & insights  | Join me in embracing the AI revolution! #MachineLearning #AI #Innovation
jsikyoon,Jaesik Yoon,
zeionara,dima,
rajaswa,Rajaswa Patil,Applied AI Researcher/Engineer/Consultant
nikitavoloboev,Nikita,Make @learn-anything @solbond
lesniewski,Chris Lesniewski,
ylxdzsw,,"""Who refuses to do arithmetic is doomed to talk nonsense."""
nlp4whp,,
isnehil,,
kohgpat,Nikolay Burlov,🤖
cadrev,Felan Carlo Garcia,
legator,Oleg Faitas,Developer and teacher at Lviv Polytechnic National University 
mgill25,Manish Gill,"Senior Software Engineer. Databases, Compilers, Rust, Zig, Distributed Systems"
